,iterations,Variable,Accuracy,model
9,9,10%,0.3333333333333333,labelspreadrbf
10,0,50%,0.3333333333333333,labelspreadrbf
11,1,50%,0.3333333333333333,labelspreadrbf
12,2,50%,0.3333333333333333,labelspreadrbf
13,3,50%,0.3333333333333333,labelspreadrbf
14,4,50%,0.3333333333333333,labelspreadrbf
15,5,50%,0.3333333333333333,labelspreadrbf
16,6,50%,0.3333333333333333,labelspreadrbf
17,7,50%,0.3333333333333333,labelspreadrbf
18,8,50%,0.3333333333333333,labelspreadrbf
19,9,50%,0.3333333333333333,labelspreadrbf
