,iterations,Variable,Accuracy,model
10,0,50%,0.8160724391624221,labelspreadrbf
11,1,50%,0.8976982097186701,labelspreadrbf
12,2,50%,0.9264828738512948,labelspreadrbf
13,3,50%,0.9332264957264956,labelspreadrbf
14,4,50%,0.8381022771266673,labelspreadrbf
15,5,50%,0.9048007615939072,labelspreadrbf
16,6,50%,0.8695637249854118,labelspreadrbf
17,7,50%,0.8982809480215644,labelspreadrbf
18,8,50%,0.8058461870348398,labelspreadrbf
19,9,50%,0.8976982097186701,labelspreadrbf
