,iterations,Variable,Accuracy,model
7,7,10%,0.0901148260009434,labelspreadrbf
8,8,10%,0.1280958615680115,labelspreadrbf
9,9,10%,0.13162196223395276,labelspreadrbf
10,0,50%,0.1280958615680115,labelspreadrbf
11,1,50%,0.13162196223395276,labelspreadrbf
12,2,50%,0.13162196223395276,labelspreadrbf
13,3,50%,0.3641796552234394,labelspreadrbf
14,4,50%,0.1280958615680115,labelspreadrbf
15,5,50%,0.13162196223395276,labelspreadrbf
16,6,50%,0.13162196223395276,labelspreadrbf
17,7,50%,0.13162196223395276,labelspreadrbf
18,8,50%,0.3638782875647002,labelspreadrbf
19,9,50%,0.13162196223395276,labelspreadrbf
