,ValueType,value,Iteration,Variable,Model,Dataset,DataType
22,accuracy,35.375180375180385,2,50%,LabelSpreading_rbf,iris,numeric
23,accuracy,26.34920634920635,3,50%,LabelSpreading_rbf,iris,numeric
24,accuracy,29.74712643678161,4,50%,LabelSpreading_rbf,iris,numeric
25,accuracy,22.91311612364244,5,50%,LabelSpreading_rbf,iris,numeric
26,accuracy,22.120743034055728,6,50%,LabelSpreading_rbf,iris,numeric
27,accuracy,40.37944664031621,7,50%,LabelSpreading_rbf,iris,numeric
28,accuracy,24.116161616161623,8,50%,LabelSpreading_rbf,iris,numeric
29,accuracy,7.777777777777778,9,50%,LabelSpreading_rbf,iris,numeric
0,accuracy,51.275547636516066,0,10%,LabelPropagation_knn,german,numeric
1,accuracy,51.58927094410966,1,10%,LabelPropagation_knn,german,numeric
2,accuracy,46.98130511463845,2,10%,LabelPropagation_knn,german,numeric
3,accuracy,53.503634096645676,3,10%,LabelPropagation_knn,german,numeric
4,accuracy,44.02428402428403,4,10%,LabelPropagation_knn,german,numeric
5,accuracy,58.13333333333334,5,10%,LabelPropagation_knn,german,numeric
6,accuracy,61.43686924637568,6,10%,LabelPropagation_knn,german,numeric
7,accuracy,39.27212572373863,7,10%,LabelPropagation_knn,german,numeric
8,accuracy,37.26746525520785,8,10%,LabelPropagation_knn,german,numeric
9,accuracy,44.76190476190477,9,10%,LabelPropagation_knn,german,numeric
20,accuracy,21.315360556803668,0,50%,LabelPropagation_knn,german,numeric
21,accuracy,27.760401112805123,1,50%,LabelPropagation_knn,german,numeric
22,accuracy,26.691895301166824,2,50%,LabelPropagation_knn,german,numeric
23,accuracy,26.691895301166824,3,50%,LabelPropagation_knn,german,numeric
24,accuracy,26.691895301166824,4,50%,LabelPropagation_knn,german,numeric
25,accuracy,31.762412567366127,5,50%,LabelPropagation_knn,german,numeric
26,accuracy,21.018062397372745,6,50%,LabelPropagation_knn,german,numeric
27,accuracy,32.80558083105854,7,50%,LabelPropagation_knn,german,numeric
28,accuracy,31.31276467029643,8,50%,LabelPropagation_knn,german,numeric
29,accuracy,25.71428571428571,9,50%,LabelPropagation_knn,german,numeric
0,accuracy,51.275547636516066,0,10%,LabelPropagation_rbf,german,numeric
1,accuracy,51.58927094410966,1,10%,LabelPropagation_rbf,german,numeric
2,accuracy,46.98130511463845,2,10%,LabelPropagation_rbf,german,numeric
3,accuracy,53.503634096645676,3,10%,LabelPropagation_rbf,german,numeric
4,accuracy,44.02428402428403,4,10%,LabelPropagation_rbf,german,numeric
5,accuracy,58.13333333333334,5,10%,LabelPropagation_rbf,german,numeric
6,accuracy,61.43686924637568,6,10%,LabelPropagation_rbf,german,numeric
7,accuracy,39.27212572373863,7,10%,LabelPropagation_rbf,german,numeric
8,accuracy,37.26746525520785,8,10%,LabelPropagation_rbf,german,numeric
9,accuracy,44.76190476190477,9,10%,LabelPropagation_rbf,german,numeric
20,accuracy,21.315360556803668,0,50%,LabelPropagation_rbf,german,numeric
21,accuracy,27.760401112805123,1,50%,LabelPropagation_rbf,german,numeric
22,accuracy,26.691895301166824,2,50%,LabelPropagation_rbf,german,numeric
23,accuracy,26.691895301166824,3,50%,LabelPropagation_rbf,german,numeric
24,accuracy,26.691895301166824,4,50%,LabelPropagation_rbf,german,numeric
25,accuracy,31.762412567366127,5,50%,LabelPropagation_rbf,german,numeric
26,accuracy,21.018062397372745,6,50%,LabelPropagation_rbf,german,numeric
27,accuracy,32.80558083105854,7,50%,LabelPropagation_rbf,german,numeric
28,accuracy,31.31276467029643,8,50%,LabelPropagation_rbf,german,numeric
29,accuracy,25.71428571428571,9,50%,LabelPropagation_rbf,german,numeric
0,accuracy,51.275547636516066,0,10%,LabelSpreading_knn,german,numeric
1,accuracy,51.58927094410966,1,10%,LabelSpreading_knn,german,numeric
2,accuracy,46.98130511463845,2,10%,LabelSpreading_knn,german,numeric
3,accuracy,53.503634096645676,3,10%,LabelSpreading_knn,german,numeric
4,accuracy,44.02428402428403,4,10%,LabelSpreading_knn,german,numeric
5,accuracy,58.13333333333334,5,10%,LabelSpreading_knn,german,numeric
6,accuracy,61.43686924637568,6,10%,LabelSpreading_knn,german,numeric
7,accuracy,39.27212572373863,7,10%,LabelSpreading_knn,german,numeric
8,accuracy,37.26746525520785,8,10%,LabelSpreading_knn,german,numeric
9,accuracy,44.76190476190477,9,10%,LabelSpreading_knn,german,numeric
20,accuracy,21.315360556803668,0,50%,LabelSpreading_knn,german,numeric
21,accuracy,27.760401112805123,1,50%,LabelSpreading_knn,german,numeric
22,accuracy,26.691895301166824,2,50%,LabelSpreading_knn,german,numeric
23,accuracy,26.691895301166824,3,50%,LabelSpreading_knn,german,numeric
24,accuracy,26.691895301166824,4,50%,LabelSpreading_knn,german,numeric
25,accuracy,31.762412567366127,5,50%,LabelSpreading_knn,german,numeric
26,accuracy,21.018062397372745,6,50%,LabelSpreading_knn,german,numeric
27,accuracy,32.80558083105854,7,50%,LabelSpreading_knn,german,numeric
28,accuracy,31.31276467029643,8,50%,LabelSpreading_knn,german,numeric
29,accuracy,25.71428571428571,9,50%,LabelSpreading_knn,german,numeric
0,accuracy,50.102570102570105,0,10%,LabelSpreading_rbf,german,numeric
1,accuracy,50.594799452573966,1,10%,LabelSpreading_rbf,german,numeric
2,accuracy,48.475723856185816,2,10%,LabelSpreading_rbf,german,numeric
3,accuracy,55.287460448750785,3,10%,LabelSpreading_rbf,german,numeric
4,accuracy,40.22932022932022,4,10%,LabelSpreading_rbf,german,numeric
5,accuracy,52.38095238095239,5,10%,LabelSpreading_rbf,german,numeric
6,accuracy,65.23309853238354,6,10%,LabelSpreading_rbf,german,numeric
7,accuracy,39.05869324473976,7,10%,LabelSpreading_rbf,german,numeric
8,accuracy,33.853463365841456,8,10%,LabelSpreading_rbf,german,numeric
9,accuracy,45.63363092474431,9,10%,LabelSpreading_rbf,german,numeric
20,accuracy,21.315360556803668,0,50%,LabelSpreading_rbf,german,numeric
21,accuracy,29.74841200647652,1,50%,LabelSpreading_rbf,german,numeric
22,accuracy,26.691895301166824,2,50%,LabelSpreading_rbf,german,numeric
23,accuracy,26.691895301166824,3,50%,LabelSpreading_rbf,german,numeric
24,accuracy,26.691895301166824,4,50%,LabelSpreading_rbf,german,numeric
25,accuracy,31.762412567366127,5,50%,LabelSpreading_rbf,german,numeric
26,accuracy,21.018062397372745,6,50%,LabelSpreading_rbf,german,numeric
27,accuracy,32.80558083105854,7,50%,LabelSpreading_rbf,german,numeric
28,accuracy,29.281045751633997,8,50%,LabelSpreading_rbf,german,numeric
29,accuracy,25.71428571428571,9,50%,LabelSpreading_rbf,german,numeric
0,accuracy,35.749369441125715,0,10%,LabelPropagation_knn,wine,numeric
1,accuracy,40.42319563152896,1,10%,LabelPropagation_knn,wine,numeric
2,accuracy,60.64039408866995,2,10%,LabelPropagation_knn,wine,numeric
3,accuracy,79.64219875984581,3,10%,LabelPropagation_knn,wine,numeric
4,accuracy,34.085648148148145,4,10%,LabelPropagation_knn,wine,numeric
5,accuracy,50.694444444444436,5,10%,LabelPropagation_knn,wine,numeric
6,accuracy,35.6174895506792,6,10%,LabelPropagation_knn,wine,numeric
7,accuracy,31.33203601953602,7,10%,LabelPropagation_knn,wine,numeric
8,accuracy,30.172091283202395,8,10%,LabelPropagation_knn,wine,numeric
9,accuracy,22.469135802469133,9,10%,LabelPropagation_knn,wine,numeric
20,accuracy,21.777777777777782,0,50%,LabelPropagation_knn,wine,numeric
21,accuracy,21.777777777777782,1,50%,LabelPropagation_knn,wine,numeric
22,accuracy,33.84615384615384,2,50%,LabelPropagation_knn,wine,numeric
23,accuracy,24.509803921568626,3,50%,LabelPropagation_knn,wine,numeric
24,accuracy,12.07729468599034,4,50%,LabelPropagation_knn,wine,numeric
25,accuracy,30.87606837606838,5,50%,LabelPropagation_knn,wine,numeric
26,accuracy,24.74537037037037,6,50%,LabelPropagation_knn,wine,numeric
27,accuracy,6.330749354005167,7,50%,LabelPropagation_knn,wine,numeric
28,accuracy,24.660493827160497,8,50%,LabelPropagation_knn,wine,numeric
29,accuracy,27.777777777777782,9,50%,LabelPropagation_knn,wine,numeric
0,accuracy,35.749369441125715,0,10%,LabelPropagation_rbf,wine,numeric
1,accuracy,40.42319563152896,1,10%,LabelPropagation_rbf,wine,numeric
2,accuracy,60.64039408866995,2,10%,LabelPropagation_rbf,wine,numeric
3,accuracy,79.64219875984581,3,10%,LabelPropagation_rbf,wine,numeric
4,accuracy,34.085648148148145,4,10%,LabelPropagation_rbf,wine,numeric
5,accuracy,50.694444444444436,5,10%,LabelPropagation_rbf,wine,numeric
6,accuracy,35.6174895506792,6,10%,LabelPropagation_rbf,wine,numeric
7,accuracy,31.33203601953602,7,10%,LabelPropagation_rbf,wine,numeric
8,accuracy,30.172091283202395,8,10%,LabelPropagation_rbf,wine,numeric
9,accuracy,22.469135802469133,9,10%,LabelPropagation_rbf,wine,numeric
20,accuracy,21.777777777777782,0,50%,LabelPropagation_rbf,wine,numeric
21,accuracy,21.777777777777782,1,50%,LabelPropagation_rbf,wine,numeric
22,accuracy,33.84615384615384,2,50%,LabelPropagation_rbf,wine,numeric
23,accuracy,24.509803921568626,3,50%,LabelPropagation_rbf,wine,numeric
24,accuracy,12.07729468599034,4,50%,LabelPropagation_rbf,wine,numeric
25,accuracy,30.87606837606838,5,50%,LabelPropagation_rbf,wine,numeric
26,accuracy,24.74537037037037,6,50%,LabelPropagation_rbf,wine,numeric
27,accuracy,6.330749354005167,7,50%,LabelPropagation_rbf,wine,numeric
28,accuracy,24.660493827160497,8,50%,LabelPropagation_rbf,wine,numeric
29,accuracy,27.777777777777782,9,50%,LabelPropagation_rbf,wine,numeric
0,accuracy,35.749369441125715,0,10%,LabelSpreading_knn,wine,numeric
1,accuracy,40.42319563152896,1,10%,LabelSpreading_knn,wine,numeric
2,accuracy,60.64039408866995,2,10%,LabelSpreading_knn,wine,numeric
3,accuracy,79.64219875984581,3,10%,LabelSpreading_knn,wine,numeric
4,accuracy,34.085648148148145,4,10%,LabelSpreading_knn,wine,numeric
5,accuracy,50.694444444444436,5,10%,LabelSpreading_knn,wine,numeric
6,accuracy,35.6174895506792,6,10%,LabelSpreading_knn,wine,numeric
7,accuracy,31.33203601953602,7,10%,LabelSpreading_knn,wine,numeric
8,accuracy,30.172091283202395,8,10%,LabelSpreading_knn,wine,numeric
9,accuracy,22.469135802469133,9,10%,LabelSpreading_knn,wine,numeric
20,accuracy,21.777777777777782,0,50%,LabelSpreading_knn,wine,numeric
21,accuracy,21.777777777777782,1,50%,LabelSpreading_knn,wine,numeric
22,accuracy,33.84615384615384,2,50%,LabelSpreading_knn,wine,numeric
23,accuracy,24.509803921568626,3,50%,LabelSpreading_knn,wine,numeric
24,accuracy,12.07729468599034,4,50%,LabelSpreading_knn,wine,numeric
25,accuracy,30.87606837606838,5,50%,LabelSpreading_knn,wine,numeric
26,accuracy,24.74537037037037,6,50%,LabelSpreading_knn,wine,numeric
27,accuracy,6.330749354005167,7,50%,LabelSpreading_knn,wine,numeric
28,accuracy,24.660493827160497,8,50%,LabelSpreading_knn,wine,numeric
29,accuracy,27.777777777777782,9,50%,LabelSpreading_knn,wine,numeric
0,accuracy,32.44916003536693,0,10%,LabelSpreading_rbf,wine,numeric
1,accuracy,37.533988382153005,1,10%,LabelSpreading_rbf,wine,numeric
2,accuracy,43.33759590792839,2,10%,LabelSpreading_rbf,wine,numeric
3,accuracy,77.41111523091502,3,10%,LabelSpreading_rbf,wine,numeric
4,accuracy,41.438746438746435,4,10%,LabelSpreading_rbf,wine,numeric
5,accuracy,45.58404558404558,5,10%,LabelSpreading_rbf,wine,numeric
6,accuracy,35.979047958214615,6,10%,LabelSpreading_rbf,wine,numeric
7,accuracy,22.667161043134346,7,10%,LabelSpreading_rbf,wine,numeric
8,accuracy,20.061728395061728,8,10%,LabelSpreading_rbf,wine,numeric
9,accuracy,29.248366013071898,9,10%,LabelSpreading_rbf,wine,numeric
20,accuracy,21.777777777777782,0,50%,LabelSpreading_rbf,wine,numeric
21,accuracy,27.22222222222223,1,50%,LabelSpreading_rbf,wine,numeric
22,accuracy,32.49999999999999,2,50%,LabelSpreading_rbf,wine,numeric
23,accuracy,28.670634920634914,3,50%,LabelSpreading_rbf,wine,numeric
24,accuracy,12.07729468599034,4,50%,LabelSpreading_rbf,wine,numeric
25,accuracy,30.87606837606838,5,50%,LabelSpreading_rbf,wine,numeric
26,accuracy,34.1361182154021,6,50%,LabelSpreading_rbf,wine,numeric
27,accuracy,6.330749354005167,7,50%,LabelSpreading_rbf,wine,numeric
28,accuracy,24.660493827160497,8,50%,LabelSpreading_rbf,wine,numeric
29,accuracy,35.185185185185176,9,50%,LabelSpreading_rbf,wine,numeric
0,accuracy,46.413540163540155,0,10%,LabelPropagation_knn,musk,image
1,accuracy,45.188034188034194,1,10%,LabelPropagation_knn,musk,image
2,accuracy,51.117537028553976,2,10%,LabelPropagation_knn,musk,image
3,accuracy,41.244939271255056,3,10%,LabelPropagation_knn,musk,image
4,accuracy,47.108277900960815,4,10%,LabelPropagation_knn,musk,image
5,accuracy,49.143531244273404,5,10%,LabelPropagation_knn,musk,image
6,accuracy,59.33908045977011,6,10%,LabelPropagation_knn,musk,image
7,accuracy,54.908906882591076,7,10%,LabelPropagation_knn,musk,image
8,accuracy,51.07905167084833,8,10%,LabelPropagation_knn,musk,image
9,accuracy,45.1168430335097,9,10%,LabelPropagation_knn,musk,image
20,accuracy,61.81270372276546,0,50%,LabelPropagation_knn,musk,image
21,accuracy,53.255275347400925,1,50%,LabelPropagation_knn,musk,image
22,accuracy,54.651639344262286,2,50%,LabelPropagation_knn,musk,image
23,accuracy,43.867243867243864,3,50%,LabelPropagation_knn,musk,image
24,accuracy,41.68811116829645,4,50%,LabelPropagation_knn,musk,image
25,accuracy,54.93444866748111,5,50%,LabelPropagation_knn,musk,image
26,accuracy,45.760233918128655,6,50%,LabelPropagation_knn,musk,image
27,accuracy,57.50612745098039,7,50%,LabelPropagation_knn,musk,image
28,accuracy,49.71641791044777,8,50%,LabelPropagation_knn,musk,image
29,accuracy,45.7228061394728,9,50%,LabelPropagation_knn,musk,image
0,accuracy,42.55664594604965,0,10%,LabelPropagation_rbf,musk,image
1,accuracy,57.77988614800758,1,10%,LabelPropagation_rbf,musk,image
2,accuracy,60.09615384615383,2,10%,LabelPropagation_rbf,musk,image
3,accuracy,45.59716599190283,3,10%,LabelPropagation_rbf,musk,image
4,accuracy,46.02616454930428,4,10%,LabelPropagation_rbf,musk,image
5,accuracy,53.242861505573366,5,10%,LabelPropagation_rbf,musk,image
6,accuracy,48.0823612583952,6,10%,LabelPropagation_rbf,musk,image
7,accuracy,51.627492877492884,7,10%,LabelPropagation_rbf,musk,image
