,ValueType,value,Iteration,Variable,Model,Dataset,DataType
7,accuracy,99.66659201381891,7,10%,LabelSpreading_knn,digits,image
8,accuracy,99.72161165278105,8,10%,LabelSpreading_knn,digits,image
9,accuracy,99.66656965734428,9,10%,LabelSpreading_knn,digits,image
20,accuracy,98.22461112314258,0,50%,LabelSpreading_knn,digits,image
21,accuracy,97.87846028500536,1,50%,LabelSpreading_knn,digits,image
22,accuracy,97.7798035482394,2,50%,LabelSpreading_knn,digits,image
23,accuracy,97.38871648276212,3,50%,LabelSpreading_knn,digits,image
24,accuracy,97.94275574615442,4,50%,LabelSpreading_knn,digits,image
25,accuracy,97.60175295615488,5,50%,LabelSpreading_knn,digits,image
26,accuracy,98.11181038954331,6,50%,LabelSpreading_knn,digits,image
27,accuracy,98.38951313861715,7,50%,LabelSpreading_knn,digits,image
28,accuracy,98.3316335244782,8,50%,LabelSpreading_knn,digits,image
29,accuracy,98.33381897637476,9,50%,LabelSpreading_knn,digits,image
0,accuracy,8.035017052511016,0,10%,LabelSpreading_rbf,digits,image
1,accuracy,10.041688526888922,1,10%,LabelSpreading_rbf,digits,image
2,accuracy,16.534098657995564,2,10%,LabelSpreading_rbf,digits,image
3,accuracy,10.846733255718256,3,10%,LabelSpreading_rbf,digits,image
4,accuracy,11.161152917768156,4,10%,LabelSpreading_rbf,digits,image
5,accuracy,12.19559282120175,5,10%,LabelSpreading_rbf,digits,image
6,accuracy,8.044935763434228,6,10%,LabelSpreading_rbf,digits,image
7,accuracy,6.2925188992049925,7,10%,LabelSpreading_rbf,digits,image
8,accuracy,12.329685910475767,8,10%,LabelSpreading_rbf,digits,image
9,accuracy,9.283745001003807,9,10%,LabelSpreading_rbf,digits,image
20,accuracy,10.432382213998347,0,50%,LabelSpreading_rbf,digits,image
21,accuracy,9.350465702047117,1,50%,LabelSpreading_rbf,digits,image
22,accuracy,6.326200002125929,2,50%,LabelSpreading_rbf,digits,image
23,accuracy,8.12721571245871,3,50%,LabelSpreading_rbf,digits,image
24,accuracy,11.09538331309979,4,50%,LabelSpreading_rbf,digits,image
25,accuracy,10.26891606021034,5,50%,LabelSpreading_rbf,digits,image
26,accuracy,6.6225981245047105,6,50%,LabelSpreading_rbf,digits,image
27,accuracy,8.482965132691383,7,50%,LabelSpreading_rbf,digits,image
28,accuracy,11.798946929858547,8,50%,LabelSpreading_rbf,digits,image
29,accuracy,9.674244773543775,9,50%,LabelSpreading_rbf,digits,image
0,accuracy,7.5,0,10%,LabelPropagation_knn,cifar2,image
1,accuracy,4.6875,1,10%,LabelPropagation_knn,cifar2,image
2,accuracy,4.715909090909091,2,10%,LabelPropagation_knn,cifar2,image
3,accuracy,6.589205830933772,3,10%,LabelPropagation_knn,cifar2,image
4,accuracy,3.125,4,10%,LabelPropagation_knn,cifar2,image
5,accuracy,3.196022727272727,5,10%,LabelPropagation_knn,cifar2,image
6,accuracy,6.057900432900432,6,10%,LabelPropagation_knn,cifar2,image
7,accuracy,9.792811355311354,7,10%,LabelPropagation_knn,cifar2,image
8,accuracy,3.75,8,10%,LabelPropagation_knn,cifar2,image
9,accuracy,5.929487179487178,9,10%,LabelPropagation_knn,cifar2,image
20,accuracy,1.9375000000000004,0,50%,LabelPropagation_knn,cifar2,image
21,accuracy,1.6289893617021278,1,50%,LabelPropagation_knn,cifar2,image
22,accuracy,1.7998866213151932,2,50%,LabelPropagation_knn,cifar2,image
23,accuracy,0.0,3,50%,LabelPropagation_knn,cifar2,image
24,accuracy,2.745060790273556,4,50%,LabelPropagation_knn,cifar2,image
25,accuracy,2.7777777777777777,5,50%,LabelPropagation_knn,cifar2,image
26,accuracy,4.695767195767196,6,50%,LabelPropagation_knn,cifar2,image
27,accuracy,2.8035714285714284,7,50%,LabelPropagation_knn,cifar2,image
28,accuracy,0.12755102040816327,8,50%,LabelPropagation_knn,cifar2,image
29,accuracy,1.0156250000000002,9,50%,LabelPropagation_knn,cifar2,image
0,accuracy,6.081163526016468,0,10%,LabelPropagation_rbf,cifar2,image
1,accuracy,9.282731157731158,1,10%,LabelPropagation_rbf,cifar2,image
2,accuracy,2.6953125,2,10%,LabelPropagation_rbf,cifar2,image
3,accuracy,7.213541666666666,3,10%,LabelPropagation_rbf,cifar2,image
4,accuracy,5.178571428571427,4,10%,LabelPropagation_rbf,cifar2,image
5,accuracy,4.487179487179486,5,10%,LabelPropagation_rbf,cifar2,image
6,accuracy,3.4722222222222223,6,10%,LabelPropagation_rbf,cifar2,image
7,accuracy,5.364583333333334,7,10%,LabelPropagation_rbf,cifar2,image
8,accuracy,2.8003246753246755,8,10%,LabelPropagation_rbf,cifar2,image
9,accuracy,4.166666666666666,9,10%,LabelPropagation_rbf,cifar2,image
20,accuracy,4.907525510204082,0,50%,LabelPropagation_rbf,cifar2,image
21,accuracy,0.05896226415094341,1,50%,LabelPropagation_rbf,cifar2,image
22,accuracy,0.0,2,50%,LabelPropagation_rbf,cifar2,image
23,accuracy,0.0,3,50%,LabelPropagation_rbf,cifar2,image
24,accuracy,2.0580808080808084,4,50%,LabelPropagation_rbf,cifar2,image
25,accuracy,1.875,5,50%,LabelPropagation_rbf,cifar2,image
26,accuracy,4.807692307692308,6,50%,LabelPropagation_rbf,cifar2,image
27,accuracy,3.223389982110912,7,50%,LabelPropagation_rbf,cifar2,image
28,accuracy,2.8522995283018866,8,50%,LabelPropagation_rbf,cifar2,image
29,accuracy,2.5710227272727275,9,50%,LabelPropagation_rbf,cifar2,image
0,accuracy,9.620098039215687,0,10%,LabelSpreading_knn,cifar2,image
1,accuracy,7.514880952380952,1,10%,LabelSpreading_knn,cifar2,image
2,accuracy,7.959618506493507,2,10%,LabelSpreading_knn,cifar2,image
3,accuracy,9.18803418803419,3,10%,LabelSpreading_knn,cifar2,image
4,accuracy,0.625,4,10%,LabelSpreading_knn,cifar2,image
5,accuracy,1.3392857142857144,5,10%,LabelSpreading_knn,cifar2,image
6,accuracy,3.525641025641025,6,10%,LabelSpreading_knn,cifar2,image
7,accuracy,7.187500000000001,7,10%,LabelSpreading_knn,cifar2,image
8,accuracy,5.458733974358974,8,10%,LabelSpreading_knn,cifar2,image
9,accuracy,12.687919719169717,9,10%,LabelSpreading_knn,cifar2,image
20,accuracy,4.924242424242424,0,50%,LabelSpreading_knn,cifar2,image
21,accuracy,4.583333333333334,1,50%,LabelSpreading_knn,cifar2,image
22,accuracy,4.386498917748918,2,50%,LabelSpreading_knn,cifar2,image
23,accuracy,0.0,3,50%,LabelSpreading_knn,cifar2,image
24,accuracy,0.05896226415094341,4,50%,LabelSpreading_knn,cifar2,image
25,accuracy,3.255208333333333,5,50%,LabelSpreading_knn,cifar2,image
26,accuracy,5.138888888888889,6,50%,LabelSpreading_knn,cifar2,image
27,accuracy,7.644644979203802,7,50%,LabelSpreading_knn,cifar2,image
28,accuracy,4.491071428571429,8,50%,LabelSpreading_knn,cifar2,image
29,accuracy,2.0225694444444446,9,50%,LabelSpreading_knn,cifar2,image
0,accuracy,3.4375000000000004,0,10%,LabelSpreading_rbf,cifar2,image
1,accuracy,5.233516483516484,1,10%,LabelSpreading_rbf,cifar2,image
2,accuracy,5.640843531468532,2,10%,LabelSpreading_rbf,cifar2,image
3,accuracy,10.734126984126984,3,10%,LabelSpreading_rbf,cifar2,image
4,accuracy,10.075549450549449,4,10%,LabelSpreading_rbf,cifar2,image
5,accuracy,10.251519314019314,5,10%,LabelSpreading_rbf,cifar2,image
6,accuracy,6.179220085470084,6,10%,LabelSpreading_rbf,cifar2,image
7,accuracy,6.2872023809523805,7,10%,LabelSpreading_rbf,cifar2,image
8,accuracy,8.789942696192696,8,10%,LabelSpreading_rbf,cifar2,image
9,accuracy,3.229166666666666,9,10%,LabelSpreading_rbf,cifar2,image
20,accuracy,3.0769230769230766,0,50%,LabelSpreading_rbf,cifar2,image
21,accuracy,3.7980769230769234,1,50%,LabelSpreading_rbf,cifar2,image
22,accuracy,5.625176753393665,2,50%,LabelSpreading_rbf,cifar2,image
23,accuracy,4.538690476190476,3,50%,LabelSpreading_rbf,cifar2,image
24,accuracy,7.953994534876889,4,50%,LabelSpreading_rbf,cifar2,image
25,accuracy,4.129464285714287,5,50%,LabelSpreading_rbf,cifar2,image
26,accuracy,6.0343608597285066,6,50%,LabelSpreading_rbf,cifar2,image
27,accuracy,1.7113095238095242,7,50%,LabelSpreading_rbf,cifar2,image
28,accuracy,4.5332271894771905,8,50%,LabelSpreading_rbf,cifar2,image
29,accuracy,3.936965811965812,9,50%,LabelSpreading_rbf,cifar2,image
0,accuracy,10.119047619047619,0,10%,LabelPropagation_knn,cifar,image
1,accuracy,10.940170940170939,1,10%,LabelPropagation_knn,cifar,image
2,accuracy,8.428571428571429,2,10%,LabelPropagation_knn,cifar,image
3,accuracy,9.397727272727273,3,10%,LabelPropagation_knn,cifar,image
4,accuracy,9.126984126984127,4,10%,LabelPropagation_knn,cifar,image
5,accuracy,16.550505050505052,5,10%,LabelPropagation_knn,cifar,image
6,accuracy,11.388888888888891,6,10%,LabelPropagation_knn,cifar,image
7,accuracy,6.372469635627532,7,10%,LabelPropagation_knn,cifar,image
8,accuracy,6.93452380952381,8,10%,LabelPropagation_knn,cifar,image
9,accuracy,9.186507936507935,9,10%,LabelPropagation_knn,cifar,image
20,accuracy,4.186046511627906,0,50%,LabelPropagation_knn,cifar,image
21,accuracy,1.951219512195122,1,50%,LabelPropagation_knn,cifar,image
22,accuracy,12.042042042042038,2,50%,LabelPropagation_knn,cifar,image
23,accuracy,5.982142857142858,3,50%,LabelPropagation_knn,cifar,image
24,accuracy,2.9411764705882346,4,50%,LabelPropagation_knn,cifar,image
25,accuracy,1.1842105263157896,5,50%,LabelPropagation_knn,cifar,image
26,accuracy,11.285714285714285,6,50%,LabelPropagation_knn,cifar,image
27,accuracy,4.887820512820513,7,50%,LabelPropagation_knn,cifar,image
28,accuracy,4.8571428571428585,8,50%,LabelPropagation_knn,cifar,image
29,accuracy,2.1621621621621627,9,50%,LabelPropagation_knn,cifar,image
0,accuracy,95.46830259397056,0,10%,LabelPropagation_rbf,cifar,image
1,accuracy,94.479660690187,1,10%,LabelPropagation_rbf,cifar,image
2,accuracy,93.004386187313,2,10%,LabelPropagation_rbf,cifar,image
3,accuracy,93.4874240009028,3,10%,LabelPropagation_rbf,cifar,image
4,accuracy,89.94970970921055,4,10%,LabelPropagation_rbf,cifar,image
5,accuracy,91.09267053169492,5,10%,LabelPropagation_rbf,cifar,image
6,accuracy,89.38845650473559,6,10%,LabelPropagation_rbf,cifar,image
7,accuracy,90.4397141155806,7,10%,LabelPropagation_rbf,cifar,image
8,accuracy,90.04057173427563,8,10%,LabelPropagation_rbf,cifar,image
9,accuracy,95.00624450431894,9,10%,LabelPropagation_rbf,cifar,image
20,accuracy,64.67405133037718,0,50%,LabelPropagation_rbf,cifar,image
21,accuracy,60.267192951137964,1,50%,LabelPropagation_rbf,cifar,image
22,accuracy,67.3182896548704,2,50%,LabelPropagation_rbf,cifar,image
23,accuracy,65.12595410857564,3,50%,LabelPropagation_rbf,cifar,image
24,accuracy,56.39391091364776,4,50%,LabelPropagation_rbf,cifar,image
25,accuracy,62.93570319969172,5,50%,LabelPropagation_rbf,cifar,image
26,accuracy,60.203677895534575,6,50%,LabelPropagation_rbf,cifar,image
27,accuracy,60.16497546868066,7,50%,LabelPropagation_rbf,cifar,image
28,accuracy,64.31495516087068,8,50%,LabelPropagation_rbf,cifar,image
29,accuracy,61.2710060612874,9,50%,LabelPropagation_rbf,cifar,image
0,accuracy,8.63970588235294,0,10%,LabelSpreading_knn,cifar,image
1,accuracy,2.5,1,10%,LabelSpreading_knn,cifar,image
2,accuracy,16.150793650793652,2,10%,LabelSpreading_knn,cifar,image
3,accuracy,2.8571428571428568,3,10%,LabelSpreading_knn,cifar,image
4,accuracy,11.423076923076923,4,10%,LabelSpreading_knn,cifar,image
5,accuracy,3.166666666666666,5,10%,LabelSpreading_knn,cifar,image
6,accuracy,13.125,6,10%,LabelSpreading_knn,cifar,image
7,accuracy,5.0,7,10%,LabelSpreading_knn,cifar,image
8,accuracy,10.734126984126984,8,10%,LabelSpreading_knn,cifar,image
9,accuracy,21.829365079365086,9,10%,LabelSpreading_knn,cifar,image
20,accuracy,1.5789473684210529,0,50%,LabelSpreading_knn,cifar,image
21,accuracy,1.6216216216216213,1,50%,LabelSpreading_knn,cifar,image
22,accuracy,9.155405405405409,2,50%,LabelSpreading_knn,cifar,image
23,accuracy,9.75268817204301,3,50%,LabelSpreading_knn,cifar,image
24,accuracy,3.4722222222222214,4,50%,LabelSpreading_knn,cifar,image
25,accuracy,1.40625,5,50%,LabelSpreading_knn,cifar,image
26,accuracy,14.839124839124837,6,50%,LabelSpreading_knn,cifar,image
27,accuracy,0.6451612903225806,7,50%,LabelSpreading_knn,cifar,image
28,accuracy,4.263392857142858,8,50%,LabelSpreading_knn,cifar,image
29,accuracy,4.395604395604395,9,50%,LabelSpreading_knn,cifar,image
0,accuracy,13.068181818181818,0,10%,LabelSpreading_rbf,cifar,image
1,accuracy,8.134469696969697,1,10%,LabelSpreading_rbf,cifar,image
2,accuracy,6.648351648351648,2,10%,LabelSpreading_rbf,cifar,image
3,accuracy,7.8125,3,10%,LabelSpreading_rbf,cifar,image
4,accuracy,11.001602564102564,4,10%,LabelSpreading_rbf,cifar,image
5,accuracy,4.304029304029304,5,10%,LabelSpreading_rbf,cifar,image
6,accuracy,2.864583333333333,6,10%,LabelSpreading_rbf,cifar,image
7,accuracy,7.059151785714286,7,10%,LabelSpreading_rbf,cifar,image
8,accuracy,5.436698717948718,8,10%,LabelSpreading_rbf,cifar,image
9,accuracy,7.589285714285714,9,10%,LabelSpreading_rbf,cifar,image
20,accuracy,5.633223684210527,0,50%,LabelSpreading_rbf,cifar,image
21,accuracy,5.749250749250749,1,50%,LabelSpreading_rbf,cifar,image
22,accuracy,2.803485576923077,2,50%,LabelSpreading_rbf,cifar,image
23,accuracy,0.78125,3,50%,LabelSpreading_rbf,cifar,image
24,accuracy,4.740728021978021,4,50%,LabelSpreading_rbf,cifar,image
25,accuracy,2.5,5,50%,LabelSpreading_rbf,cifar,image
26,accuracy,4.640837104072396,6,50%,LabelSpreading_rbf,cifar,image
27,accuracy,10.498511904761905,7,50%,LabelSpreading_rbf,cifar,image
28,accuracy,3.4722222222222223,8,50%,LabelSpreading_rbf,cifar,image
29,accuracy,1.3888888888888893,9,50%,LabelSpreading_rbf,cifar,image
0,accuracy,7.1345029239766085,0,10%,LabelPropagation_knn,mnist,image
1,accuracy,5.500000000000001,1,10%,LabelPropagation_knn,mnist,image
2,accuracy,9.129072681704262,2,10%,LabelPropagation_knn,mnist,image
3,accuracy,13.714015151515152,3,10%,LabelPropagation_knn,mnist,image
4,accuracy,6.6818181818181825,4,10%,LabelPropagation_knn,mnist,image
5,accuracy,12.326007326007328,5,10%,LabelPropagation_knn,mnist,image
6,accuracy,17.777777777777775,6,10%,LabelPropagation_knn,mnist,image
7,accuracy,16.53463203463204,7,10%,LabelPropagation_knn,mnist,image
8,accuracy,2.764705882352941,8,10%,LabelPropagation_knn,mnist,image
9,accuracy,2.9285714285714293,9,10%,LabelPropagation_knn,mnist,image
20,accuracy,8.249999999999998,0,50%,LabelPropagation_knn,mnist,image
21,accuracy,6.4444444444444455,1,50%,LabelPropagation_knn,mnist,image
22,accuracy,9.294871794871796,2,50%,LabelPropagation_knn,mnist,image
23,accuracy,1.4705882352941175,3,50%,LabelPropagation_knn,mnist,image
24,accuracy,11.441176470588234,4,50%,LabelPropagation_knn,mnist,image
25,accuracy,1.153846153846154,5,50%,LabelPropagation_knn,mnist,image
26,accuracy,10.718157181571817,6,50%,LabelPropagation_knn,mnist,image
27,accuracy,6.96078431372549,7,50%,LabelPropagation_knn,mnist,image
28,accuracy,5.535714285714287,8,50%,LabelPropagation_knn,mnist,image
29,accuracy,2.5806451612903225,9,50%,LabelPropagation_knn,mnist,image
0,accuracy,8.214285714285715,0,10%,LabelPropagation_rbf,mnist,image
1,accuracy,11.000000000000002,1,10%,LabelPropagation_rbf,mnist,image
2,accuracy,11.992481203007516,2,10%,LabelPropagation_rbf,mnist,image
3,accuracy,9.92965367965368,3,10%,LabelPropagation_rbf,mnist,image
4,accuracy,20.219155844155843,4,10%,LabelPropagation_rbf,mnist,image
5,accuracy,5.059523809523808,5,10%,LabelPropagation_rbf,mnist,image
6,accuracy,10.769230769230774,6,10%,LabelPropagation_rbf,mnist,image
7,accuracy,12.730880230880231,7,10%,LabelPropagation_rbf,mnist,image
8,accuracy,12.361111111111109,8,10%,LabelPropagation_rbf,mnist,image
9,accuracy,7.142857142857142,9,10%,LabelPropagation_rbf,mnist,image
20,accuracy,8.035714285714286,0,50%,LabelPropagation_rbf,mnist,image
21,accuracy,9.299242424242424,1,50%,LabelPropagation_rbf,mnist,image
22,accuracy,13.599078341013826,2,50%,LabelPropagation_rbf,mnist,image
23,accuracy,9.336219336219337,3,50%,LabelPropagation_rbf,mnist,image
24,accuracy,7.571428571428571,4,50%,LabelPropagation_rbf,mnist,image
25,accuracy,0.0,5,50%,LabelPropagation_rbf,mnist,image
26,accuracy,11.558441558441556,6,50%,LabelPropagation_rbf,mnist,image
27,accuracy,7.6388888888888875,7,50%,LabelPropagation_rbf,mnist,image
28,accuracy,0.8571428571428572,8,50%,LabelPropagation_rbf,mnist,image
29,accuracy,1.2903225806451613,9,50%,LabelPropagation_rbf,mnist,image
0,accuracy,14.216269841269838,0,10%,LabelSpreading_knn,mnist,image
1,accuracy,15.012987012987015,1,10%,LabelSpreading_knn,mnist,image
2,accuracy,24.75438596491228,2,10%,LabelSpreading_knn,mnist,image
3,accuracy,14.94117647058824,3,10%,LabelSpreading_knn,mnist,image
4,accuracy,14.22348484848485,4,10%,LabelSpreading_knn,mnist,image
5,accuracy,19.580808080808087,5,10%,LabelSpreading_knn,mnist,image
6,accuracy,18.661616161616163,6,10%,LabelSpreading_knn,mnist,image
7,accuracy,8.923076923076922,7,10%,LabelSpreading_knn,mnist,image
8,accuracy,5.677655677655678,8,10%,LabelSpreading_knn,mnist,image
9,accuracy,13.452380952380956,9,10%,LabelSpreading_knn,mnist,image
20,accuracy,3.8461538461538463,0,50%,LabelSpreading_knn,mnist,image
21,accuracy,1.5384615384615379,1,50%,LabelSpreading_knn,mnist,image
22,accuracy,15.11842105263158,2,50%,LabelSpreading_knn,mnist,image
23,accuracy,6.777777777777778,3,50%,LabelSpreading_knn,mnist,image
24,accuracy,2.702702702702702,4,50%,LabelSpreading_knn,mnist,image
25,accuracy,4.404761904761903,5,50%,LabelSpreading_knn,mnist,image
26,accuracy,8.429487179487179,6,50%,LabelSpreading_knn,mnist,image
27,accuracy,0.6451612903225806,7,50%,LabelSpreading_knn,mnist,image
28,accuracy,4.821428571428573,8,50%,LabelSpreading_knn,mnist,image
29,accuracy,3.581081081081081,9,50%,LabelSpreading_knn,mnist,image
0,accuracy,10.173076923076922,0,10%,LabelSpreading_rbf,mnist,image
1,accuracy,9.636363636363637,1,10%,LabelSpreading_rbf,mnist,image
2,accuracy,12.972027972027972,2,10%,LabelSpreading_rbf,mnist,image
3,accuracy,10.786435786435788,3,10%,LabelSpreading_rbf,mnist,image
4,accuracy,20.63636363636364,4,10%,LabelSpreading_rbf,mnist,image
5,accuracy,7.375000000000001,5,10%,LabelSpreading_rbf,mnist,image
6,accuracy,14.750000000000002,6,10%,LabelSpreading_rbf,mnist,image
7,accuracy,10.0,7,10%,LabelSpreading_rbf,mnist,image
8,accuracy,2.5,8,10%,LabelSpreading_rbf,mnist,image
9,accuracy,0.0,9,10%,LabelSpreading_rbf,mnist,image
20,accuracy,14.295634920634926,0,50%,LabelSpreading_rbf,mnist,image
21,accuracy,4.722222222222221,1,50%,LabelSpreading_rbf,mnist,image
22,accuracy,6.3690476190476195,2,50%,LabelSpreading_rbf,mnist,image
23,accuracy,6.917748917748918,3,50%,LabelSpreading_rbf,mnist,image
24,accuracy,9.018759018759019,4,50%,LabelSpreading_rbf,mnist,image
25,accuracy,16.863636363636363,5,50%,LabelSpreading_rbf,mnist,image
26,accuracy,3.636363636363636,6,50%,LabelSpreading_rbf,mnist,image
27,accuracy,5.0,7,50%,LabelSpreading_rbf,mnist,image
28,accuracy,8.420329670329673,8,50%,LabelSpreading_rbf,mnist,image
29,accuracy,10.063492063492065,9,50%,LabelSpreading_rbf,mnist,image
0,accuracy,22.24731789949181,0,10%,LabelPropagation_knn,reuters,text
1,accuracy,32.03957382039573,1,10%,LabelPropagation_knn,reuters,text
2,accuracy,27.39194139194139,2,10%,LabelPropagation_knn,reuters,text
3,accuracy,28.295652173913044,3,10%,LabelPropagation_knn,reuters,text
4,accuracy,52.876157407407405,4,10%,LabelPropagation_knn,reuters,text
5,accuracy,29.76190476190476,5,10%,LabelPropagation_knn,reuters,text
6,accuracy,20.093974960876366,6,10%,LabelPropagation_knn,reuters,text
7,accuracy,26.94444444444445,7,10%,LabelPropagation_knn,reuters,text
8,accuracy,22.320675105485233,8,10%,LabelPropagation_knn,reuters,text
9,accuracy,38.75457875457876,9,10%,LabelPropagation_knn,reuters,text
20,accuracy,16.666666666666664,0,50%,LabelPropagation_knn,reuters,text
21,accuracy,15.232067510548525,1,50%,LabelPropagation_knn,reuters,text
22,accuracy,13.846153846153845,2,50%,LabelPropagation_knn,reuters,text
23,accuracy,18.148148148148145,3,50%,LabelPropagation_knn,reuters,text
24,accuracy,18.148148148148145,4,50%,LabelPropagation_knn,reuters,text
25,accuracy,16.666666666666664,5,50%,LabelPropagation_knn,reuters,text
26,accuracy,13.846153846153845,6,50%,LabelPropagation_knn,reuters,text
27,accuracy,12.51082251082251,7,50%,LabelPropagation_knn,reuters,text
28,accuracy,21.24497991967872,8,50%,LabelPropagation_knn,reuters,text
29,accuracy,24.509803921568626,9,50%,LabelPropagation_knn,reuters,text
0,accuracy,37.37495354886659,0,10%,LabelPropagation_rbf,reuters,text
1,accuracy,49.31771134683382,1,10%,LabelPropagation_rbf,reuters,text
2,accuracy,16.017543859649123,2,10%,LabelPropagation_rbf,reuters,text
3,accuracy,57.75531834355365,3,10%,LabelPropagation_rbf,reuters,text
4,accuracy,41.759615384615394,4,10%,LabelPropagation_rbf,reuters,text
5,accuracy,34.15559772296016,5,10%,LabelPropagation_rbf,reuters,text
6,accuracy,30.160108024691358,6,10%,LabelPropagation_rbf,reuters,text
7,accuracy,24.80833333333333,7,10%,LabelPropagation_rbf,reuters,text
8,accuracy,18.77613342729622,8,10%,LabelPropagation_rbf,reuters,text
9,accuracy,20.48425430778372,9,10%,LabelPropagation_rbf,reuters,text
20,accuracy,21.15942028985507,0,50%,LabelPropagation_rbf,reuters,text
21,accuracy,15.427350427350426,1,50%,LabelPropagation_rbf,reuters,text
22,accuracy,31.794871794871803,2,50%,LabelPropagation_rbf,reuters,text
23,accuracy,27.155555555555555,3,50%,LabelPropagation_rbf,reuters,text
24,accuracy,40.23006535947713,4,50%,LabelPropagation_rbf,reuters,text
25,accuracy,17.777777777777775,5,50%,LabelPropagation_rbf,reuters,text
26,accuracy,14.794520547945206,6,50%,LabelPropagation_rbf,reuters,text
27,accuracy,18.148148148148145,7,50%,LabelPropagation_rbf,reuters,text
28,accuracy,17.192640692640694,8,50%,LabelPropagation_rbf,reuters,text
29,accuracy,22.41228070175439,9,50%,LabelPropagation_rbf,reuters,text
0,accuracy,16.033755274261598,0,10%,LabelSpreading_knn,reuters,text
1,accuracy,28.390476190476193,1,10%,LabelSpreading_knn,reuters,text
2,accuracy,12.27328431372549,2,10%,LabelSpreading_knn,reuters,text
3,accuracy,37.32491389207807,3,10%,LabelSpreading_knn,reuters,text
4,accuracy,40.951548451548454,4,10%,LabelSpreading_knn,reuters,text
5,accuracy,18.357487922705317,5,10%,LabelSpreading_knn,reuters,text
6,accuracy,37.800819252432156,6,10%,LabelSpreading_knn,reuters,text
7,accuracy,13.196347031963473,7,10%,LabelSpreading_knn,reuters,text
8,accuracy,21.504065040650406,8,10%,LabelSpreading_knn,reuters,text
9,accuracy,22.15189873417721,9,10%,LabelSpreading_knn,reuters,text
20,accuracy,16.666666666666664,0,50%,LabelSpreading_knn,reuters,text
21,accuracy,15.232067510548525,1,50%,LabelSpreading_knn,reuters,text
22,accuracy,13.846153846153845,2,50%,LabelSpreading_knn,reuters,text
23,accuracy,18.148148148148145,3,50%,LabelSpreading_knn,reuters,text
24,accuracy,18.148148148148145,4,50%,LabelSpreading_knn,reuters,text
25,accuracy,16.666666666666664,5,50%,LabelSpreading_knn,reuters,text
26,accuracy,13.846153846153845,6,50%,LabelSpreading_knn,reuters,text
27,accuracy,12.51082251082251,7,50%,LabelSpreading_knn,reuters,text
28,accuracy,21.24497991967872,8,50%,LabelSpreading_knn,reuters,text
29,accuracy,24.509803921568626,9,50%,LabelSpreading_knn,reuters,text
0,accuracy,15.384615384615385,0,10%,LabelSpreading_rbf,reuters,text
1,accuracy,41.19191919191919,1,10%,LabelSpreading_rbf,reuters,text
2,accuracy,61.84480364808233,2,10%,LabelSpreading_rbf,reuters,text
3,accuracy,12.50316255534472,3,10%,LabelSpreading_rbf,reuters,text
4,accuracy,55.19215415634854,4,10%,LabelSpreading_rbf,reuters,text
5,accuracy,44.26593521421108,5,10%,LabelSpreading_rbf,reuters,text
6,accuracy,38.71387871387872,6,10%,LabelSpreading_rbf,reuters,text
7,accuracy,29.82078853046595,7,10%,LabelSpreading_rbf,reuters,text
8,accuracy,21.764705882352942,8,10%,LabelSpreading_rbf,reuters,text
9,accuracy,34.93851061757257,9,10%,LabelSpreading_rbf,reuters,text
20,accuracy,20.05224030540486,0,50%,LabelSpreading_rbf,reuters,text
21,accuracy,20.05945531261987,1,50%,LabelSpreading_rbf,reuters,text
22,accuracy,19.67479674796748,2,50%,LabelSpreading_rbf,reuters,text
23,accuracy,19.95555555555556,3,50%,LabelSpreading_rbf,reuters,text
24,accuracy,16.666666666666664,4,50%,LabelSpreading_rbf,reuters,text
25,accuracy,10.0,5,50%,LabelSpreading_rbf,reuters,text
26,accuracy,15.232067510548525,6,50%,LabelSpreading_rbf,reuters,text
27,accuracy,15.135135135135133,7,50%,LabelSpreading_rbf,reuters,text
28,accuracy,14.210526315789476,8,50%,LabelSpreading_rbf,reuters,text
29,accuracy,18.607594936708864,9,50%,LabelSpreading_rbf,reuters,text
0,accuracy,4.9909538960633855,0,10%,LabelPropagation_knn,ohsumed,text
1,accuracy,5.462653288740246,1,10%,LabelPropagation_knn,ohsumed,text
2,accuracy,3.7425537425537434,2,10%,LabelPropagation_knn,ohsumed,text
3,accuracy,4.92100492100492,3,10%,LabelPropagation_knn,ohsumed,text
4,accuracy,3.2902769744875013,4,10%,LabelPropagation_knn,ohsumed,text
5,accuracy,5.7881884197673665,5,10%,LabelPropagation_knn,ohsumed,text
6,accuracy,6.505564778946074,6,10%,LabelPropagation_knn,ohsumed,text
7,accuracy,4.537456008044243,7,10%,LabelPropagation_knn,ohsumed,text
8,accuracy,9.128687902377981,8,10%,LabelPropagation_knn,ohsumed,text
9,accuracy,7.523775129408933,9,10%,LabelPropagation_knn,ohsumed,text
20,accuracy,4.9909538960633855,0,50%,LabelPropagation_knn,ohsumed,text
21,accuracy,5.462653288740246,1,50%,LabelPropagation_knn,ohsumed,text
22,accuracy,3.686694731470851,2,50%,LabelPropagation_knn,ohsumed,text
23,accuracy,4.9909538960633855,3,50%,LabelPropagation_knn,ohsumed,text
24,accuracy,3.2902769744875013,4,50%,LabelPropagation_knn,ohsumed,text
25,accuracy,4.102564102564103,5,50%,LabelPropagation_knn,ohsumed,text
26,accuracy,6.459096459096457,6,50%,LabelPropagation_knn,ohsumed,text
27,accuracy,4.537456008044243,7,50%,LabelPropagation_knn,ohsumed,text
