,ValueType,value,Iteration,Variable,Model,Dataset,DataType
2,accuracy,0.9342592592592592,2,10%,Active_QBC,iris,numeric
3,accuracy,0.9009287925696596,3,10%,Active_QBC,iris,numeric
4,accuracy,0.9666666666666668,4,10%,Active_QBC,iris,numeric
5,accuracy,0.9011594202898552,5,10%,Active_QBC,iris,numeric
6,accuracy,0.9666666666666668,6,10%,Active_QBC,iris,numeric
7,accuracy,0.9321937321937322,7,10%,Active_QBC,iris,numeric
8,accuracy,0.9669224211423699,8,10%,Active_QBC,iris,numeric
9,accuracy,0.9324074074074074,9,10%,Active_QBC,iris,numeric
10,time,9.006314277648926,0,10%,Active_QBC,iris,numeric
11,time,8.979696273803711,1,10%,Active_QBC,iris,numeric
12,time,9.227267503738405,2,10%,Active_QBC,iris,numeric
13,time,8.813077926635742,3,10%,Active_QBC,iris,numeric
14,time,9.015640020370485,4,10%,Active_QBC,iris,numeric
15,time,9.051076889038086,5,10%,Active_QBC,iris,numeric
16,time,9.094366312026976,6,10%,Active_QBC,iris,numeric
17,time,8.95696496963501,7,10%,Active_QBC,iris,numeric
18,time,9.491624355316162,8,10%,Active_QBC,iris,numeric
19,time,9.234543800354004,9,10%,Active_QBC,iris,numeric
20,accuracy,0.9324074074074074,0,50%,Active_QBC,iris,numeric
21,accuracy,1.0,1,50%,Active_QBC,iris,numeric
22,accuracy,0.9333333333333332,2,50%,Active_QBC,iris,numeric
23,accuracy,0.8587301587301587,3,50%,Active_QBC,iris,numeric
24,accuracy,0.9663492063492064,4,50%,Active_QBC,iris,numeric
25,accuracy,0.90230179028133,5,50%,Active_QBC,iris,numeric
26,accuracy,0.8624338624338624,6,50%,Active_QBC,iris,numeric
27,accuracy,0.9664561403508772,7,50%,Active_QBC,iris,numeric
28,accuracy,0.9330303030303032,8,50%,Active_QBC,iris,numeric
29,accuracy,1.0,9,50%,Active_QBC,iris,numeric
30,time,9.381075620651243,0,50%,Active_QBC,iris,numeric
31,time,9.922403335571287,1,50%,Active_QBC,iris,numeric
